Experiment,Missing,Encoding,Scaling,FeatureSelection,Model,Accuracy,Precision,Recall,F1,ROC_AUC
Exp-1,mean,onehot,standard,X,logistic_regression,0.8435754189944135,0.8253968253968254,0.7536231884057971,0.7878787878787878,0.881159420289855
Exp-1,mean,onehot,standard,X,random_forest,0.8212290502793296,0.7846153846153846,0.7391304347826086,0.7611940298507462,0.8275362318840579
Exp-2,median,label,minmax,O,random_forest,0.8212290502793296,0.7936507936507936,0.7246376811594203,0.7575757575757576,0.8261528326745718
Exp-2,median,label,minmax,O,logistic_regression,0.7821229050279329,0.734375,0.6811594202898551,0.706766917293233,0.841897233201581
Exp-3,most_frequent,onehot,robust,O,random_forest,0.7653631284916201,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.8252305665349144
Exp-3,most_frequent,onehot,robust,O,logistic_regression,0.7653631284916201,0.7076923076923077,0.6666666666666666,0.6865671641791045,0.8542160737812912
Base,None,None,None,X,logistic_regression,0.7062937062937062,0.6904761904761905,0.5,0.58,0.7407707910750506
Base,None,None,None,X,random_forest,0.6503496503496503,0.5714285714285714,0.5517241379310345,0.5614035087719298,0.6939148073022312
